CH3OCH2        2     395   4.037     1.3       0       1        !CH3OCH3
C4H71-3        2   357.1    4.72       0       0       1        !H2C4O
SC3H5CO        2   464.2   5.009     2.6       0       1        !TCPC
IC4H6OH        2   502.2   5.356     1.8       0       1        !WJP
C5H10-1        2   386.2   5.489     0.4       0       1        !WJP
C5H91-5        2   396.8   5.458       0       0       1        !WJP
C2H4O1-2       2     436    3.97       0       0       2        !WJPSAMEASCH2CO
C3H6O1-2       2   403.6   4.968       2       0       1        !WJP
TC3H6CHO       2   436.4   5.352       0       0       1        !WJP
IC3H5CHO       2   436.4   5.352       0       0       1        !WJP
C5H11O-2       2   523.2   5.664     1.7       0       1        !WJP
O2C2H4OH       2   523.2   5.664     1.7       0       1        !WJP
C2H3O1-2       2     436    3.97       0       0       2        !WJPSAMEASCH2CO
C5H11O-3       2   523.2   5.664     1.7       0       1        !WJP
CH3COCH3       2   435.5    4.86       0       0       1        !NMM
IC3H6CHO       2   436.4   5.352       0       0       1        !WJP
C5H9O1-3       2   523.2   5.664     1.7       0       1        !WJP,1-PENTANOL(1C5H11OH)
CH3COCH2       2   435.5    4.86       0       0       1        !NMM
C4H8O1-2       2     496     5.2       0       0       1        !WJP
SC3H5CHO       2   464.2   5.009     2.6       0       1        !TCPC
TC4H8CHO       2     476   5.778     2.6       0       1        !WJP,NC4H9CHO
C5H9O2-4       2   523.2   5.664     1.7       0       1        !WJP,1-PENTANOL(1C5H11OH)
C4H8O2-3       2     496     5.2       0       0       1        !WJP
IC3H7CHO       2   436.4   5.352       0       0       1        !WJP,TCPC,ISOBUTYRALDEHYDE
IC4H7OOH       2   436.4   5.352       0       0       1        !WJP,ISOBUTYRALDEHYDE(IC3H7CHO)
C5H11O-1       2   523.2   5.664     1.7       0       1        !WJP
TC3H6OCH       2   436.4   5.352       0       0       1        !WJP
CH2CCH2O       2   481.5   4.997     1.7       0       1        !WJP
TC3H6OCHO      2   436.4   5.352       0       0       1        !WJP
CH2CCH2OH      2   481.5   4.997     1.7       0       1        !WJP
CH2CCH2OH      2   481.5   4.997     1.7       0       1        !WJP
